IDCardNo        XLoc        YLoc        gender        age        isVac
675494        568        517        Male        50        No
988706        486        318        Female        48        Yes
399554        268        31        Female        21        Yes
391240        786        782        Female        25        No
304923        96        100        Male        62        No
367780        999        151        Male        62        Yes
318030        3        99        Male        69        Yes
971382        176        146        Male        49        Yes
122175        861        769        Female        50        No
889598        134        162        Female        53        No
451001        423        58        Female        45        No
795557        77        111        Male        32        No
302189        589        886        Female        37        No
959751        385        755        Male        63        Yes
486189        145        882        Female        17        No
551915        434        56        Male        44        Yes
256280        870        167        Male        57        No
423638        222        542        Female        10        No
121323        131        399        Male        35        No
162207        5        911        Female        21        Yes
302435        204        692        Male        37        No
978562        329        992        Female        51        No
273532        242        978        Male        34        No
067121        680        830        Female        39        No
945912        823        568        Male        25        No
356344        900        132        Male        9        Yes
713736        48        562        Female        28        Yes
727561        431        111        Female        9        No
561994        591        702        Female        16        No
039811        808        244        Female        66        No
400974        509        404        Male        4        Yes
608463        540        289        Female        69        Yes
265186        933        650        Male        63        Yes
872764        98        758        Male        48        No
160202        204        621        Female        12        No
361600        673        637        Male        58        Yes
875832        916        592        Female        48        Yes
133524        300        371        Male        32        No
064118        300        740        Male        62        No
755554        477        533        Female        44        No
435962        548        254        Female        8        Yes
708365        781        571        Male        37        Yes
473479        982        184        Female        59        No
990751        61        73        Male        50        Yes
064021        133        29        Female        65        Yes
148638        797        224        Male        36        Yes
587489        904        823        Female        40        Yes
077589        13        342        Male        54        No
720341        570        113        Female        33        No
336593        757        101        Male        7        No
572168        243        694        Female        22        No
991121        105        988        Female        69        No
772749        845        282        Female        7        No
713925        34        384        Female        24        No
261809        270        684        Male        7        Yes
047049        29        748        Female        1        No
375067        449        82        Male        13        Yes
330365        234        826        Male        53        No
756810        898        909        Female        30        Yes
598500        400        557        Male        65        No
897774        418        499        Male        20        Yes
578923        149        946        Female        31        No
651243        710        741        Male        46        Yes
317221        220        641        Male        16        No
066644        727        841        Female        35        Yes
795985        962        377        Male        32        No
497452        678        644        Male        69        No
083767        94        141        Female        35        No
540228        421        156        Female        50        No
238319        308        5        Male        49        No
140517        742        932        Male        41        Yes
906202        825        595        Female        54        No
234653        359        637        Male        60        Yes
859333        980        767        Female        16        No
793493        490        405        Female        43        No
317039        619        58        Female        22        No
766360        983        487        Female        9        Yes
145040        164        439        Male        68        No
916188        54        97        Female        49        No
840610        26        32        Female        67        Yes
618698        295        835        Male        61        No
854982        35        761        Female        65        Yes
643630        797        488        Male        55        No
128324        827        973        Male        19        No
762773        725        223        Female        62        No
567220        735        964        Male        28        Yes
779967        472        350        Male        53        No
234583        14        552        Male        10        Yes
701016        759        462        Male        57        No
188040        723        444        Male        60        No
460254        397        473        Male        62        Yes
156734        165        896        Female        65        No
069728        325        724        Male        13        Yes
180122        440        148        Male        26        Yes
130681        917        133        Male        61        Yes
271823        482        6        Female        52        No
501620        260        742        Female        23        Yes
752593        655        256        Female        50        No
110087        724        341        Female        3        No
407365        525        941        Male        29        No
171637        376        417        Male        36        No
161243        823        35        Male        19        No
207733        777        291        Male        59        No
212796        486        698        Female        57        Yes
523588        108        378        Female        60        No
372559        121        583        Male        7        Yes
239135        859        349        Female        33        Yes
104457        909        291        Female        27        Yes
863317        454        17        Female        12        Yes
145028        571        552        Female        9        Yes
729827        620        434        Female        60        No
045085        252        597        Male        57        No
722178        845        449        Female        34        Yes
795292        603        127        Male        8        No
738584        993        650        Male        48        Yes
701211        524        240        Female        29        No
490034        648        604        Male        6        No
828491        71        885        Male        44        No
354008        300        677        Female        43        No
724777        776        255        Female        5        No
430683        838        149        Male        2        Yes
498513        382        734        Female        42        No
632913        822        131        Male        31        No
110433        853        995        Female        21        No
747278        593        60        Female        16        Yes
808665        76        810        Male        44        Yes
088464        41        116        Male        35        Yes
229797        176        501        Male        30        No
678899        220        122        Female        44        Yes
233174        667        107        Female        45        No
514438        488        894        Male        25        Yes
670244        526        36        Male        32        Yes
612492        999        100        Female        9        No
623019        593        257        Female        16        Yes
166392        843        637        Male        59        Yes
547522        136        808        Female        64        No
340934        450        37        Female        17        No
278791        656        0        Male        2        No
908826        737        13        Male        41        No
458252        457        308        Female        3        Yes
760265        807        967        Female        46        Yes
647991        355        641        Male        15        No
489702        147        924        Male        18        Yes
819480        300        742        Female        31        Yes
447654        707        707        Male        20        No
723137        589        762        Male        65        No
958005        473        67        Male        62        Yes
193582        395        880        Male        44        Yes
360910        241        687        Male        34        Yes
507956        886        138        Female        61        No
756113        619        428        Male        39        Yes
753188        785        187        Male        15        No
535772        7        788        Female        41        Yes
477945        914        302        Female        18        No
571767        46        958        Male        42        No
266118        677        403        Male        8        No
374607        726        665        Female        64        No
078220        718        141        Male        24        Yes
692715        571        391        Male        20        Yes
803851        392        33        Female        10        No
351374        766        344        Female        65        Yes
121542        395        588        Female        9        Yes
747451        750        680        Female        24        Yes
521118        400        460        Male        16        No
259771        327        358        Female        41        Yes
092379        657        970        Female        63        Yes
782750        757        899        Male        52        Yes
137433        93        813        Male        60        Yes
197501        461        414        Female        9        Yes
939495        625        700        Male        60        No
551143        938        845        Male        14        Yes
384598        278        129        Male        36        Yes
922383        965        453        Female        67        Yes
847293        311        855        Male        25        Yes
375206        912        133        Male        56        Yes
772712        226        870        Male        28        Yes
212477        112        579        Male        38        No
200707        652        525        Male        52        No
581626        187        177        Male        33        No
893839        585        932        Male        36        No
589789        756        483        Male        21        Yes
841930        597        242        Male        27        Yes
302559        974        379        Female        64        Yes
341501        503        254        Male        60        No
972385        574        375        Male        61        Yes
211311        759        386        Male        26        Yes
666852        332        133        Male        18        Yes
740077        317        166        Male        60        No
324640        874        811        Male        21        No
885458        93        741        Female        5        Yes
526119        21        730        Male        7        Yes
918303        303        161        Female        20        No
204449        124        115        Male        23        No
454856        676        939        Male        15        Yes
291834        294        351        Male        4        No
633887        89        158        Female        31        Yes
791858        903        406        Female        4        No
010915        575        466        Male        17        No
712737        11        798        Male        69        Yes
612525        63        600        Male        11        Yes
214808        198        524        Male        20        No
008697        572        106        Male        45        No
166117        141        801        Male        27        No
040377        494        614        Female        49        Yes
075323        524        798        Male        33        Yes
680876        221        988        Female        63        No
317964        305        364        Female        57        No
114719        684        567        Female        51        No
683311        165        614        Male        25        Yes
130558        628        354        Male        45        No
151695        674        336        Female        28        No
294413        279        543        Male        1        No
276181        60        277        Female        69        Yes
517342        650        883        Female        12        Yes
469583        425        613        Male        9        Yes
286733        954        709        Female        38        Yes
504578        665        912        Female        55        Yes
408834        494        323        Female        10        Yes
819607        216        224        Female        28        Yes
802338        831        725        Female        14        No
365131        952        207        Female        43        Yes
845345        523        641        Male        51        Yes
335351        698        908        Male        9        Yes
282693        328        209        Male        61        No
601290        228        494        Male        41        No
212985        399        4        Male        38        No
198817        911        140        Female        64        Yes
473051        120        525        Female        35        Yes
069245        603        734        Female        44        Yes
597625        65        250        Female        18        Yes
592536        12        759        Male        62        No
822795        927        126        Female        41        No
558366        412        470        Male        23        No
819644        651        60        Male        30        No
971218        386        411        Female        25        Yes
453064        62        732        Male        53        No
221775        668        499        Female        53        Yes
128148        817        122        Male        68        No
655812        350        512        Male        62        No
877379        562        338        Male        24        Yes
426149        881        885        Female        3        No
738865        311        687        Male        13        Yes
505644        775        367        Male        70        No
608720        851        948        Female        23        Yes
880184        355        398        Male        36        No
118814        341        955        Male        51        No
461859        703        536        Female        35        Yes
070388        756        732        Female        27        Yes
988644        28        9        Male        16        No
192165        738        716        Female        48        No
163963        620        392        Female        38        No
541079        298        215        Female        20        No
927171        184        363        Female        67        No
900668        275        55        Male        63        Yes
268090        543        592        Male        21        Yes
951319        782        859        Female        48        Yes
747518        255        81        Female        23        No
294400        385        818        Female        70        No
527920        947        117        Female        36        No
980405        343        633        Female        16        No
172148        973        749        Female        11        No
177324        606        262        Female        36        Yes
668335        108        981        Male        15        Yes
598938        534        972        Male        19        Yes
135877        879        986        Female        69        Yes
719934        726        215        Male        8        Yes
956160        525        868        Female        10        No
971457        185        878        Male        28        Yes
908107        19        820        Female        53        Yes
066890        462        421        Female        17        Yes
512746        844        204        Male        31        Yes
940197        419        433        Female        45        Yes
576815        134        34        Female        43        Yes
263572        46        641        Male        46        Yes
105406        178        573        Male        11        No
536973        531        969        Female        47        No
991384        156        961        Male        16        Yes
200180        550        446        Female        70        Yes
566207        784        114        Male        54        Yes
893192        772        645        Female        35        Yes
137143        896        645        Male        1        No
653266        633        837        Female        8        Yes
105790        943        394        Female        59        Yes
843791        343        895        Female        13        No
531278        10        305        Female        52        No
603473        907        645        Female        38        No
455372        65        366        Female        56        Yes
173422        553        427        Female        61        Yes
484401        956        729        Male        59        Yes
679269        257        460        Female        13        No
225858        968        374        Female        49        No
838061        104        309        Female        15        No
179855        511        442        Male        30        No
822439        386        22        Male        66        Yes
200536        981        253        Male        6        No
048166        335        984        Female        27        No
682154        167        585        Male        54        Yes
375070        97        413        Male        9        Yes
819717        260        736        Male        60        Yes
187655        520        657        Male        62        No
098536        750        832        Male        49        Yes
707079        756        128        Male        66        Yes
473354        780        905        Male        65        Yes
501747        96        650        Male        44        Yes
449074        454        917        Male        64        No
895944        755        472        Male        40        Yes
596791        244        84        Male        56        Yes
812833        443        155        Male        55        No
631021        349        930        Female        54        No
152178        757        488        Male        9        Yes
950691        551        384        Female        68        Yes
598109        885        104        Male        5        No
883570        514        672        Male        56        No
213206        110        176        Male        28        Yes
925231        561        687        Female        53        No
984963        606        713        Female        23        No
334240        118        966        Male        33        Yes
435984        415        415        Female        49        No
921263        133        22        Male        60        No
360536        397        473        Female        24        No
279995        677        875        Male        23        No
769547        403        242        Female        25        No
778306        502        533        Female        49        No
848405        534        214        Female        55        Yes
385548        461        630        Male        45        Yes
235557        156        832        Female        67        No
769451        762        585        Female        40        Yes
097445        939        369        Male        40        No
576354        987        288        Male        32        No
452711        88        587        Male        66        No
288398        617        492        Male        44        Yes
543733        855        277        Female        19        No
898117        795        445        Female        33        Yes
848538        456        606        Female        7        Yes
006607        802        809        Male        17        No
255112        445        39        Female        32        Yes
982584        398        66        Male        8        Yes
855226        452        361        Female        23        Yes
081035        244        512        Female        52        Yes
799731        467        725        Male        63        No
897808        256        570        Male        44        No
766323        522        252        Male        34        Yes
043143        473        313        Male        6        No
839694        546        238        Male        36        No
605824        895        854        Male        63        Yes
002122        869        74        Female        40        Yes
350997        816        851        Male        52        No
687939        486        238        Female        19        Yes
293148        49        115        Female        12        No
388912        254        394        Male        56        No
064455        446        121        Female        51        Yes
935475        181        312        Female        17        Yes
444639        722        339        Male        26        No
022457        474        968        Female        68        Yes
227313        410        319        Female        44        No
690329        188        728        Female        57        No
105012        581        820        Male        52        No
137257        470        351        Male        2        No
292838        772        218        Female        48        Yes
706497        351        194        Male        68        No
084205        668        546        Female        54        Yes
828066        900        295        Female        5        Yes
437813        986        521        Male        56        No
778190        714        430        Male        39        No
088218        999        329        Female        69        Yes
536616        485        940        Female        45        No
832684        115        550        Female        12        Yes
368022        928        248        Male        66        Yes
272478        561        206        Male        15        Yes
144227        491        261        Female        2        Yes
487427        957        555        Female        5        No
546611        666        648        Female        51        No
095325        118        655        Male        60        Yes
836011        659        534        Male        52        Yes
910844        37        769        Male        24        Yes
103616        905        821        Female        62        No
927438        442        675        Male        54        Yes
085575        609        501        Male        4        No
553201        987        578        Female        15        Yes
925533        100        414        Male        11        Yes
240758        726        110        Male        60        No
328125        160        434        Male        16        Yes
829686        252        246        Female        66        Yes
613240        555        276        Female        41        Yes
891382        84        575        Male        20        Yes
744714        798        798        Female        42        Yes
610122        350        286        Male        64        Yes
312369        484        202        Male        63        No
729345        731        976        Male        27        Yes
368600        204        453        Male        36        Yes
002472        109        701        Female        66        No
601258        795        731        Female        42        Yes
160867        736        624        Male        18        No
285912        208        125        Male        60        No
205206        850        219        Male        13        No
918814        994        846        Male        50        Yes
719528        812        86        Female        18        No
838600        679        764        Male        11        Yes
011985        401        804        Female        4        No
208345        986        586        Female        55        Yes
918748        729        74        Male        30        No
766566        927        704        Male        69        No
047823        871        281        Male        25        Yes
100125        471        547        Female        45        Yes
088262        9        247        Male        18        No
734198        626        982        Male        59        No
042753        17        144        Male        19        No
636133        734        766        Male        5        No
348490        371        83        Female        56        Yes
220036        532        89        Female        21        No
134516        492        571        Male        42        No
830993        469        84        Female        40        Yes
794974        66        908        Female        61        No
791752        235        555        Female        24        No
503360        824        188        Female        9        Yes
356367        234        775        Male        58        No
611981        464        934        Female        45        Yes
348636        502        131        Female        20        No
362219        256        144        Female        63        No
547076        356        315        Female        3        Yes
055019        254        80        Female        46        Yes
652299        6        319        Female        5        Yes
309889        328        830        Female        34        No
664867        827        260        Male        11        Yes
028732        18        958        Female        56        Yes
354462        327        989        Male        41        Yes
672623        100        879        Male        44        No
285254        586        198        Male        49        Yes
274669        950        698        Male        51        Yes
734594        981        965        Female        38        Yes
930397        711        403        Female        20        Yes
924695        760        482        Female        29        No
099617        40        162        Male        7        Yes
244216        628        150        Female        15        Yes
138536        910        223        Male        11        Yes
405909        991        947        Male        45        Yes
381442        293        635        Female        35        No
978354        240        370        Male        36        No
342741        675        668        Female        54        Yes
501189        326        640        Male        47        Yes
048736        88        739        Female        1        No
667525        440        228        Female        17        No
879557        306        297        Male        33        Yes
743776        573        538        Male        57        Yes
511064        516        866        Female        51        No
919270        898        0        Female        2        No
741315        953        144        Male        49        Yes
013605        815        197        Male        13        Yes
527710        301        226        Male        40        Yes
760667        989        301        Female        65        No
790612        872        428        Male        59        Yes
359870        310        114        Female        48        No
841596        593        116        Female        46        No
964980        63        258        Male        24        No
780229        192        215        Male        63        Yes
477043        401        600        Male        1        No
980019        769        109        Male        69        Yes
613567        170        409        Male        30        No
050278        845        624        Female        27        No
249816        243        684        Male        35        No
964379        293        457        Male        51        No
529946        544        621        Female        13        Yes
777421        739        853        Male        49        Yes
352614        807        822        Male        31        Yes
335657        442        903        Female        66        No
108899        167        238        Male        17        No
717630        816        474        Female        53        Yes
263463        489        171        Female        6        Yes
675196        162        378        Male        25        No
780419        377        552        Male        13        Yes
937997        823        108        Female        59        Yes
793525        269        794        Female        53        Yes
532654        853        862        Female        50        Yes
282750        930        879        Male        67        Yes
758763        716        7        Male        11        Yes
905131        716        168        Male        8        Yes
639791        529        956        Male        46        Yes
283260        878        631        Male        21        Yes
780889        660        975        Female        59        Yes
409572        771        374        Female        39        No
728287        171        505        Female        20        Yes
248207        890        700        Male        19        No
348990        15        459        Male        8        Yes
182410        433        136        Female        42        No
069486        394        458        Male        66        Yes
701820        651        297        Female        57        No
983631        113        156        Female        56        No
303259        737        897        Male        24        No
475664        182        709        Male        29        No
371393        615        199        Male        25        No
026757        965        173        Male        38        Yes
742588        311        87        Female        3        No
664012        843        615        Female        20        Yes
123275        385        547        Male        17        No
314747        915        24        Male        27        Yes
172619        300        621        Male        44        No
690188        551        115        Male        43        No
815838        955        717        Female        56        Yes
368576        211        943        Male        5        Yes
934420        482        114        Female        62        Yes
566473        705        316        Female        61        Yes
691645        498        647        Female        65        No
954143        509        35        Female        9        No
515645        42        598        Female        45        No
386204        93        143        Male        68        Yes
219550        838        559        Female        41        Yes
604313        596        524        Male        13        No
349819        9        632        Female        18        Yes
397964        285        979        Male        1        No
846809        358        898        Female        64        Yes
516467        477        524        Male        1        No
204553        86        45        Male        47        Yes
799672        286        761        Female        12        Yes
724887        318        412        Male        44        Yes
396517        368        439        Female        23        Yes
514201        256        223        Male        16        No
419823        479        140        Female        46        Yes
415036        685        1        Female        3        Yes
084692        209        478        Female        55        No
644156        654        462        Female        59        Yes
007008        431        793        Male        21        No
216452        724        199        Male        5        Yes
299481        549        913        Male        62        No
703295        405        464        Male        49        No
035494        867        194        Female        25        No
499324        626        946        Male        34        Yes
854940        606        506        Female        57        No
007861        17        111        Male        58        Yes
572323        520        319        Female        38        Yes
342415        978        562        Female        18        No
492651        417        460        Male        44        No
009057        223        25        Female        12        Yes
124156        853        963        Male        26        No
613841        715        836        Female        63        Yes
987184        306        164        Male        40        Yes
426841        633        512        Male        57        No
838300        715        517        Female        38        No
581795        14        772        Male        5        No
713867        31        757        Female        46        Yes
518518        549        160        Female        22        Yes
509486        433        813        Female        36        Yes
660924        145        924        Female        63        Yes
046788        602        70        Male        70        Yes
615461        995        440        Female        9        No
897300        570        61        Male        25        No
647450        662        341        Male        32        No
709915        479        977        Male        55        No
145308        194        74        Female        45        No
632249        232        739        Male        59        Yes
365756        302        731        Male        14        Yes
139878        321        970        Male        31        Yes
718609        582        962        Male        64        No
411990        548        192        Female        1        Yes
380459        51        549        Male        68        Yes
773002        820        431        Male        31        No
541335        648        613        Male        53        Yes
639149        489        727        Male        6        Yes
761090        138        258        Female        39        Yes
383755        931        313        Female        43        Yes
260726        432        501        Female        68        No
523586        581        458        Female        26        Yes
777378        457        709        Female        30        Yes
496480        796        476        Female        65        Yes
936161        253        241        Female        12        Yes
820257        882        796        Male        68        No
804555        28        535        Male        40        Yes
743764        158        158        Male        61        Yes
116189        183        802        Male        21        No
505830        25        525        Female        21        Yes
456336        954        593        Female        40        No
627134        52        781        Male        42        Yes
053192        361        515        Male        43        Yes
921810        640        789        Female        53        Yes
203546        16        546        Female        5        No
020830        889        949        Male        45        Yes
367558        133        839        Male        14        Yes
862269        581        715        Male        24        No
338537        595        566        Female        49        No
775758        192        769        Female        1        Yes
246925        503        90        Female        42        Yes
486965        559        228        Male        59        Yes
026711        176        152        Male        48        Yes
124794        196        268        Male        60        No
134949        746        878        Female        63        No
525394        851        72        Male        47        No
346075        888        27        Male        31        No
750296        546        41        Female        26        Yes
084452        492        126        Female        70        No
607422        86        551        Female        46        Yes
504999        108        725        Male        43        Yes
026824        262        281        Male        15        Yes
737013        370        610        Male        33        Yes
478521        395        294        Male        59        No
340844        560        269        Male        56        No
982069        170        732        Male        65        No
306674        29        734        Female        46        No
930946        455        637        Female        46        No
771530        954        673        Female        33        Yes
281319        934        296        Male        63        Yes
651071        222        592        Female        9        Yes
922926        652        861        Female        43        No
502364        464        512        Male        57        Yes
781187        441        135        Male        61        No
743824        282        369        Male        7        No
010070        741        298        Male        20        Yes
176041        21        26        Male        60        Yes
624026        738        970        Male        42        Yes
325974        693        298        Female        6        Yes
063488        79        981        Male        36        No
586308        906        347        Female        9        No
588384        990        749        Female        69        Yes
705451        254        651        Male        34        Yes
849833        293        652        Male        40        Yes
859050        999        55        Female        32        No
257622        27        794        Female        29        Yes
892082        382        162        Female        69        Yes
439208        330        902        Female        30        No
714454        881        741        Female        48        No
