IDCardNo        SymptomLevel        Status        HospitalID
838300        Mild        Confirmed        HOld2
838300        Mild        Recovered        HOld2
066644        Critical        Confirmed        HOld8
608720        Critical        Confirmed        HOld7
608720        Critical        Recovered        HOld7
426841        Moderate        Confirmed        HOld7
396517        Mild        Confirmed        HOld2
396517        Mild        Recovered        HOld2
651771        Critical        Confirmed        HOld7
066644        Critical        Recovered        HOld8
400974        Critical        Confirmed        HOld2
426841        Moderate        Recovered        HOld7
474352        Moderate        Confirmed        HOld8
474352        Moderate        Recovered        HOld8
444587        Critical        Confirmed        HOld7
604313        Moderate        Confirmed        HOld8
498513        Mild        Confirmed        HOld2
211311        Mild        Confirmed        HOld10
508789        Moderate        Confirmed        HOld6
604313        Moderate        Recovered        HOld8
070401        Mild        Confirmed        HOld1
070401        Mild        Recovered        HOld1
335351        Moderate        Confirmed        HOld8
400974        Critical        Recovered        HOld2
257169        Mild        Confirmed        HOld1
252244        Moderate        Confirmed        HOld1
257169        Mild        Recovered        HOld1
099617        Mild        Confirmed        HOld1
925231        Mild        Confirmed        HOld2
508789        Moderate        Recovered        HOld6
356367        Moderate        Confirmed        HOld3
309009        Moderate        Confirmed        HOld9
756113        Mild        Confirmed        HOld2
587489        Mild        Confirmed        HOld7
515640        Critical        Confirmed        HOld5
515640        Critical        Recovered        HOld5
354370        Critical        Confirmed        HOld4
858822        Mild        Confirmed        HOld7
858822        Mild        Recovered        HOld7
203546        Critical        Confirmed        HOld9
925231        Mild        Recovered        HOld2
121542        Mild        Confirmed        HOld2
653888        Moderate        Confirmed        HOld6
356367        Moderate        Recovered        HOld3
516467        Mild        Confirmed        HOld2
444587        Critical        Recovered        HOld7
624026        Moderate        Confirmed        HOld8
516467        Mild        Recovered        HOld2
843791        Critical        Confirmed        HOld8
335351        Moderate        Recovered        HOld8
863317        Moderate        Confirmed        HOld4
214808        Moderate        Confirmed        HOld9
338537        Moderate        Confirmed        HOld8
667087        Moderate        Confirmed        HOld8
498513        Mild        Recovered        HOld2
070388        Mild        Confirmed        HOld7
777378        Mild        Confirmed        HOld2
214808        Moderate        Recovered        HOld9
634024        Moderate        Confirmed        HOld8
099617        Mild        Recovered        HOld1
830920        Critical        Confirmed        HOld1
340201        Mild        Confirmed        HOld1
598500        Mild        Confirmed        HOld2
587489        Mild        Recovered        HOld7
383755        Critical        Confirmed        HOld10
002122        Critical        Confirmed        HOld6
283260        Mild        Confirmed        HOld7
608720        Mild        Confirmed        HOld7
747761        Moderate        Confirmed        HOld4
763455        Moderate        Confirmed        HOld8
070388        Mild        Recovered        HOld7
487427        Mild        Confirmed        HOld7
050278        Mild        Confirmed        HOld7
253137        Moderate        Confirmed        HOld7
