IDCardNo        XLoc        YLoc        gender        age        isVac
122334        99        10        Female        30        Yes
594285        475        407        Female        65        Yes
786966        257        385        Female        51        Yes
721835        178        317        Male        50        Yes
594520        640        448        Male        40        No
008168        387        963        Female        56        No
955828        239        63        Male        7        No
029954        228        358        Male        1        Yes
110187        397        129        Male        29        Yes
579756        130        789        Male        34        Yes
225401        551        822        Female        29        No
379399        188        97        Male        25        Yes
104279        631        922        Female        54        No
302226        738        851        Female        55        Yes
591485        311        108        Female        20        No
791944        578        179        Male        16        Yes
031185        301        480        Male        15        Yes
145420        380        649        Male        14        No
677795        793        896        Female        42        No
194871        984        546        Female        57        No
828414        863        791        Female        34        Yes
967473        276        743        Female        13        Yes
970579        642        502        Female        48        No
723749        181        755        Male        59        Yes
317294        936        31        Female        65        No
279894        395        568        Female        66        No
135887        377        275        Female        31        No
743473        844        623        Female        61        Yes
446325        18        457        Male        60        Yes
758415        190        705        Female        22        Yes
296387        961        203        Male        42        No
669627        567        172        Male        6        Yes
373518        321        502        Male        13        No
884119        648        784        Male        48        No
549508        881        66        Male        3        No
322007        840        540        Male        35        Yes
043013        432        128        Female        21        No
100032        567        475        Male        46        Yes
856850        929        932        Male        20        Yes
222879        931        715        Male        14        No
731311        215        655        Female        58        Yes
330918        968        559        Male        65        Yes
653678        22        370        Male        1        No
567906        81        459        Male        32        Yes
164193        137        468        Female        68        No
508321        118        501        Female        62        No
809567        464        172        Male        16        Yes
319332        967        352        Male        34        No
109696        792        699        Male        29        No
663699        479        563        Female        4        No
